Supplier Name,Grant Payment Amount
EASTERN REGIONAL INTEGRATED HEALTH AUTHORITY,"$1,335,168,989"
MEMORIAL UNIVERSITY OF NL,"$429,870,611"
CENTRAL REGIONAL INTEGRATED HEALTH AUTHORITY,"$337,006,527"
WESTERN REGIONAL HEALTH AUTHORITY,"$313,320,670"
NEWFOUNDLAND & LABRADOR ENGLISH SCHOOL DISTRICT,"$168,261,636"
LABRADOR-GRENFELL REGIONAL INTEGRATED HEALTH AUTHORITY,"$155,768,948"
CIBC (ST JOHN'S) (TEACHERS PAY),"$120,530,056"
COLLEGE OF THE NORTH ATLANTIC,"$90,615,935"
RECEIVER GENERAL FOR CANADA,"$59,225,992"
NEWFOUNDLAND & LABRADOR HOUSING CORP,"$43,471,898"
CITY OF ST JOHN'S,"$31,933,412"
STUDENT LOAN CORPORATION OF NEWFOUNDLAND AND LABRADOR,"$26,500,000"
NF & LAB CENTRE FOR HEALTH INFORMATION,"$24,464,222"
RESEARCH & DEVELOPMENT CORPORATION,"$22,026,000"
TOWN OF CONCEPTION BAY SOUTH,"$17,940,098"
CANADIAN BLOOD SERVICES,"$17,936,200"
PROV OF NF (TEACHERS PAYROLL),"$16,655,371"
NEWFOUNDLAND & LABRADOR LEGAL AID COMMISSION,"$16,272,244"
WESTERN REGIONAL INTEGRATED HEALTH AUTHORITY,"$15,569,512"
TOWN OF PARADISE,"$14,660,124"
NEWFOUNDLAND & LABRADOR MUNICIPAL FINANCING CORPORATION,"$13,832,825"
CARE GIVERS INC,"$12,671,975"
PROVINCIAL INFORMATION & LIBRARY RESOURCES BOARD,"$10,555,100"
MINISTER OF FINANCE (ONTARIO),"$10,489,744"
NOVA SCOTIA MINISTER OF FINANCE,"$9,381,119"
TOWN OF BISHOP'S FALLS,"$9,202,797"
JOHNSON INC,"$8,896,340"
CANADA-NFLD OFFSHORE PETROLEUM BOARD,"$8,835,000"
TOWN COUNCIL OF MARYSTOWN,"$8,291,328"
THE CITY OF CORNER BROOK,"$7,491,683"
TOWN OF GRAND FALLS-WINDSOR,"$6,039,388"
WESTERN REGIONAL SERVICE BOARD,"$5,802,945"
WAYPOINTS INC,"$5,182,729"
ALBERTA HEALTH CARE INSURANCE PLAN,"$4,883,130"
TOWN OF PORTUGAL COVE - ST PHILIPS,"$4,219,917"
