grant_id,supplier_name,amount
1,EASTERN REGIONAL INTEGRATED HEALTH AUTHORITY,1335168989
2,MEMORIAL UNIVERSITY OF NL,429870611
3,CENTRAL REGIONAL INTEGRATED HEALTH AUTHORITY,337006527
4,WESTERN REGIONAL HEALTH AUTHORITY,313320670
5,NEWFOUNDLAND & LABRADOR ENGLISH SCHOOL DISTRICT,168261636
6,LABRADOR-GRENFELL REGIONAL INTEGRATED HEALTH AUTHORITY,155768948
7,CIBC (ST JOHN'S) (TEACHERS PAY),120530056
8,COLLEGE OF THE NORTH ATLANTIC,90615935
9,RECEIVER GENERAL FOR CANADA,59225992
10,NEWFOUNDLAND & LABRADOR HOUSING CORP,43471898
11,CITY OF ST JOHN'S,31933412
12,STUDENT LOAN CORPORATION OF NEWFOUNDLAND AND LABRADOR,26500000
13,NF & LAB CENTRE FOR HEALTH INFORMATION,24464222
14,RESEARCH & DEVELOPMENT CORPORATION,22026000
15,TOWN OF CONCEPTION BAY SOUTH,17940098
16,CANADIAN BLOOD SERVICES,17936200
17,PROV OF NF (TEACHERS PAYROLL),16655371
18,NEWFOUNDLAND & LABRADOR LEGAL AID COMMISSION,16272244
19,WESTERN REGIONAL INTEGRATED HEALTH AUTHORITY,15569512
20,TOWN OF PARADISE,14660124
21,NEWFOUNDLAND & LABRADOR MUNICIPAL FINANCING CORPORATION,13832825
22,CARE GIVERS INC,12671975
23,PROVINCIAL INFORMATION & LIBRARY RESOURCES BOARD,10555100
24,MINISTER OF FINANCE (ONTARIO),10489744
25,NOVA SCOTIA MINISTER OF FINANCE,9381119
26,TOWN OF BISHOP'S FALLS,9202797
27,JOHNSON INC,8896340
28,CANADA-NFLD OFFSHORE PETROLEUM BOARD,8835000
29,TOWN COUNCIL OF MARYSTOWN,8291328
30,THE CITY OF CORNER BROOK,7491683
31,TOWN OF GRAND FALLS-WINDSOR,6039388
32,WESTERN REGIONAL SERVICE BOARD,5802945
33,WAYPOINTS INC,5182729
34,ALBERTA HEALTH CARE INSURANCE PLAN,4883130
35,TOWN OF PORTUGAL COVE - ST PHILIPS,4219917
36,NEWFOUNDLAND EXCHEQUER ACCOUNT,4120714
37,EASTERN WASTE MANAGEMENT,3892921
38,BUSINESS INVESTMENT CORPORATION,3749122
39,TOWN OF GANDER,3522143
40,CONSEIL SCOLAIRE FRANCOPHONE PROVINCIAL DE TERRE-NEUVE & LABRADOR,3075371
41,FONEMED NORTH AMERICA INC,3064216
42,TOWN OF STEPHENVILLE,2951951
43,TOWN OF PASADENA,2851123
44,NEWFOUNDLAND & LABRADOR HYDRO,2822496
45,NL TEACHERS ASSOCIATION A/C FEES,2637610
46,ACADEMY CANADA INC,2506087
47,HOPEDALE INUIT COMMUNITY GOVERNMENT,2494204
48,NEWFOUNDLAND AND LABRADOR ARTS COUNCIL,2335900
49,KEY ASSETS NEWFOUNDLAND AND LABRADOR INCORPORATED,2316319
50,PROVINCIAL AIRLINES LIMITED,2156371
51,TOWN OF LABRADOR CITY,2144201
52,TOWN OF HAPPY VALLEY-GOOSE BAY,2027279
53,TOWN OF WABANA,1995405
54,TOWN OF FOGO ISLAND,1977610
55,TOWN OF WABUSH,1828214
56,TORBAY TOWN COUNCIL,1762168
57,TOWN OF CLARENVILLE,1758123
